No.,Date,Sub Genre,CollectionName,No.,SongDate,Artist Name,Song Name,Sub Genre 1,Sub Genre 2,YouTube URL,Memo,Tagline,Bot Name,,,,,,,,
11,2016-12-01,Alternative R&B,Strong Female Poptagonists,61,2016-11-29,MO,Kamikaze,Synth Pop,,https://www.youtube.com/watch?v=eVD9j36Ke94,Good,BLAME IT ON THE BUZZ,Niles.Randy,,,,,,,,
11,2016-12-01,Alternative R&B,Strong Female Poptagonists,62,2016-11-29,Beyonce,Run the World,Funk/Groove,,https://www.youtube.com/watch?v=VBmMU_iwe6U,Good,DON'T EVEN TRY TO TOUCH THIS,Niles.Randy,,,,,,,,
11,2016-12-01,Alternative R&B,Strong Female Poptagonists,63,2016-11-30,Icona Pop,Bright Side,Reggae Fusion,,https://www.youtube.com/watch?v=_v0RosJguWA,Good,SEE IT ALL CLEAR,Niles.Randy,,,,,,,,
11,2016-12-01,Alternative R&B,Strong Female Poptagonists,64,2016-11-30,Madonna,Material Girl,Dance Pop,,https://www.youtube.com/watch?v=lQ30vbWxsqU,Good,MAKE MY RAINY DAY,Niles.Randy,,,,,,,,
11,2016-12-01,Alternative R&B,Strong Female Poptagonists,65,2016-12-01,SEVDALIZA,THAT OTHER GIRL,Alternative R&B,,https://www.youtube.com/watch?v=koAtzvSBvfE,Good,ALL THE WAY IN THIS BED,Niles.Randy,,,,,,,,
11,2016-12-01,Alternative R&B,Strong Female Poptagonists,66,2016-12-01,ABRA,Diamonds & Gold,Alternative R&B,,https://www.youtube.com/watch?v=JKyu7SOVOSI,Good,LOVE IS A MISERABLE THING TO CHASE,Niles.Randy,,,,,,,,
12,2016-11-29,Synth Pop,Expectations,67,2016-11-30,La Roux,Bulletproof,Synth Pop,,https://www.youtube.com/watch?v=EUsbpmQ9-mc,Good,I WON'T LET YOU IN AGAIN,GDL_LAX,,,,,,,,
12,2016-11-29,Synth Pop,Expectations,68,2016-11-30,Sia,The Greatest,Dance Pop,,https://www.youtube.com/watch?v=GKSRyLdjsPA,Good,I GOT STAMINA,GDL_LAX,,,,,,,,
12,2016-11-29,Synth Pop,Expectations,69,2016-11-30,Billie Marten,Lionhearted,Pop/Soft Rock,,https://www.youtube.com/watch?v=_oD9hGnZqgw,Good,THIS IS LONELY TERRITORY,GDL_LAX,,,,,,,,
12,2016-11-29,Synth Pop,Expectations,70,2016-11-30,The Ting Tings,That's Not My Name,Dance Rock,,https://www.youtube.com/watch?v=NcsBqtTrZMI,Good,"I'M SORRY, I DIDN'T CATCH YOUR NAME",GDL_LAX,,,,,,,,
